"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"497",2000,1,0,377.654,11.112,556.992274608704
"497",2000,1,0,485.943,3.77808,556.992274608704
"497",2000,1,0,354.084,4.4448,556.992274608704
"498",2000,1,30,506.618,7.9173,556.992274608704
"498",2000,1,0,480.711,8.334,556.992274608704
"498",2000,1,12,530.242,6.8061,556.992274608704
"498",2000,1,0,548.394,6.75054,556.992274608704
"498",2000,1,0,533.185,7.0839,556.992274608704
"498",2000,1,0,555.435,10.1397,556.992274608704
"498",2000,1,0,554.778,5.77824,556.992274608704
"498",2000,1,0,510.7,3.8892,556.992274608704
"498",2000,1,0,586.599,8.16732,556.992274608704
"499",2000,1,2,497.074,6.72276,556.992274608704
"499",2000,1,0,505.98,6.6672,556.992274608704
"499",2000,1,0,588.793,7.9173,556.992274608704
"499",2000,1,0,506.618,7.5006,556.992274608704
"500",2000,1,0,560.375,5.0004,556.992274608704
"500",2000,1,0,489.163,7.6395,556.992274608704
"500",2000,1,0,482.338,5.0004,556.992274608704
"500",2000,1,5,483.885,7.52838,556.992274608704
"500",2000,1,11,457.01,6.8061,556.992274608704
"500",2000,1,0,567.124,7.61172,556.992274608704
"500",2000,1,0,510.872,8.334,556.992274608704
"500",2000,1,0,497.377,8.7507,556.992274608704
"501",2000,1,0,496.286,5.1856,556.992274608704
"501",2000,1,0,485.861,5.08374,556.992274608704
"501",2000,1,0,494.309,8.80626,556.992274608704
"501",2000,1,0,457.203,11.14904,556.992274608704
"501",2000,1,0,521.002,6.50052,556.992274608704
"502",2000,1,5,516.964,6.91722,556.992274608704
"503",2000,1,0,509.39,10.2786,556.992274608704
"504",2000,1,120,527.156,6.6672,556.992274608704
"504",2000,1,0,496.758,6.6672,556.992274608704
"505",2000,1,0,450.657,5.0004,556.992274608704
"505",2000,1,0,500.132,8.16732,556.992274608704
"505",2000,1,0,450.657,4.3059,556.992274608704
"505",2000,1,0,499.99,4.7226,556.992274608704
"506",2000,1,0,611.19,6.8061,556.992274608704
"506",2000,1,0,497.953,6.75054,556.992274608704
"506",2000,1,0,499.155,7.58394,556.992274608704
"506",2000,1,0,501.853,6.5283,556.992274608704
"506",2000,1,0,508.787,9.0285,556.992274608704
"507",2000,1,0,534.02,6.8061,556.992274608704
"507",2000,1,0,525.554,8.0562,556.992274608704
"507",2000,1,0,508.235,6.8061,556.992274608704
"507",2000,1,0,540.984,8.0562,556.992274608704
"507",2000,1,0,508.787,2.3613,556.992274608704
"508",2000,1,0,508.787,7.5006,556.992274608704
"508",2000,1,0,534.02,6.1116,556.992274608704
"509",2000,1,30,641.954,8.52846,556.992274608704
"518",2000,1,25,597.534,6.8061,556.992274608704
"520",2000,1,15,603.057,9.36186,556.992274608704
"528",2000,1,0,384.026,7.27836,556.992274608704
"530",2000,1,5,483.6,6.6672,556.992274608704
"530",2000,1,0,459.064,6.72276,556.992274608704
"531",2000,1,0,283.951,7.531466666,556.992274608704
"557",2000,1,0,113.749,6.105426666,559.301171182358
"558",2000,1,0,382.097,6.77832,559.301171182358
"558",2000,1,0,458.656,8.229053334,559.301171182358
"558",2000,1,23,477.189,3.80586,559.301171182358
"558",2000,1,0,435.704,8.334,559.301171182358
