"id","id_lat","id_lon","lat","lon"
455,-44.25,178.75,-44.375,178.625
457,-44.25,179.25,-44.125,179.125
457,-44.25,179.25,-44.125,179.375
457,-44.25,179.25,-44.375,179.375
457,-44.25,179.25,-44.375,179.125
458,-44.25,179.5,-44.125,179.375
458,-44.25,179.5,-44.125,179.625
458,-44.25,179.5,-44.375,179.625
458,-44.25,179.5,-44.375,179.375
459,-44.25,179.75,-44.125,179.625
459,-44.25,179.75,-44.125,179.875
459,-44.25,179.75,-44.375,179.875
459,-44.25,179.75,-44.375,179.625
460,-44.25,180,-44.125,179.875
460,-44.25,180,-44.125,180.125
460,-44.25,180,-44.375,180.125
460,-44.25,180,-44.375,179.875
461,-44.25,180.25,-44.125,180.125
461,-44.25,180.25,-44.125,180.375
461,-44.25,180.25,-44.375,180.375
461,-44.25,180.25,-44.375,180.125
462,-44.25,180.5,-44.125,180.375
462,-44.25,180.5,-44.125,180.625
462,-44.25,180.5,-44.375,180.625
462,-44.25,180.5,-44.375,180.375
463,-44.25,180.75,-44.125,180.625
463,-44.25,180.75,-44.125,180.875
463,-44.25,180.75,-44.375,180.875
463,-44.25,180.75,-44.375,180.625
464,-44.25,181,-44.125,180.875
464,-44.25,181,-44.125,181.125
464,-44.25,181,-44.375,181.125
464,-44.25,181,-44.375,180.875
465,-44.25,181.25,-44.125,181.125
465,-44.25,181.25,-44.125,181.375
465,-44.25,181.25,-44.375,181.375
465,-44.25,181.25,-44.375,181.125
466,-44.25,181.5,-44.125,181.375
466,-44.25,181.5,-44.125,181.625
466,-44.25,181.5,-44.375,181.625
466,-44.25,181.5,-44.375,181.375
467,-44.25,181.75,-44.125,181.625
467,-44.25,181.75,-44.125,181.875
467,-44.25,181.75,-44.375,181.875
467,-44.25,181.75,-44.375,181.625
468,-44.25,182,-44.125,181.875
468,-44.25,182,-44.125,182.125
468,-44.25,182,-44.375,182.125
468,-44.25,182,-44.375,181.875
469,-44.25,182.25,-44.125,182.125
469,-44.25,182.25,-44.125,182.375
469,-44.25,182.25,-44.375,182.375
469,-44.25,182.25,-44.375,182.125
470,-44.25,182.5,-44.125,182.375
470,-44.25,182.5,-44.125,182.625
470,-44.25,182.5,-44.375,182.625
470,-44.25,182.5,-44.375,182.375
471,-44.25,182.75,-44.125,182.625
471,-44.25,182.75,-44.125,182.875
471,-44.25,182.75,-44.375,182.875
471,-44.25,182.75,-44.375,182.625
472,-44.25,183,-44.125,182.875
472,-44.25,183,-44.125,183.125
472,-44.25,183,-44.375,183.125
472,-44.25,183,-44.375,182.875
473,-44.25,183.25,-44.125,183.125
473,-44.25,183.25,-44.125,183.375
473,-44.25,183.25,-44.375,183.375
473,-44.25,183.25,-44.375,183.125
479,-44.25,184.75,-44.125,184.625
479,-44.25,184.75,-44.125,184.875
479,-44.25,184.75,-44.375,184.875
479,-44.25,184.75,-44.375,184.625
480,-44.25,185,-44.125,184.875
480,-44.25,185,-44.125,185.125
480,-44.25,185,-44.375,185.125
480,-44.25,185,-44.375,184.875
494,-44,173.25,-43.875,173.125
494,-44,173.25,-43.875,173.375
494,-44,173.25,-44.125,173.375
494,-44,173.25,-44.125,173.125
495,-44,173.5,-43.875,173.375
495,-44,173.5,-43.875,173.625
495,-44,173.5,-44.125,173.625
495,-44,173.5,-44.125,173.375
496,-44,173.75,-43.875,173.625
496,-44,173.75,-43.875,173.875
496,-44,173.75,-44.125,173.875
496,-44,173.75,-44.125,173.625
497,-44,174,-43.875,173.875
497,-44,174,-43.875,174.125
497,-44,174,-44.125,174.125
497,-44,174,-44.125,173.875
498,-44,174.25,-43.875,174.125
498,-44,174.25,-43.875,174.375
498,-44,174.25,-44.125,174.375
498,-44,174.25,-44.125,174.125
499,-44,174.5,-43.875,174.375
499,-44,174.5,-43.875,174.625
499,-44,174.5,-44.125,174.625
499,-44,174.5,-44.125,174.375
500,-44,174.75,-43.875,174.625
500,-44,174.75,-43.875,174.875
500,-44,174.75,-44.125,174.875
500,-44,174.75,-44.125,174.625
501,-44,175,-43.875,174.875
501,-44,175,-43.875,175.125
501,-44,175,-44.125,175.125
501,-44,175,-44.125,174.875
502,-44,175.25,-43.875,175.125
502,-44,175.25,-43.875,175.375
502,-44,175.25,-44.125,175.375
502,-44,175.25,-44.125,175.125
503,-44,175.5,-43.875,175.375
503,-44,175.5,-43.875,175.625
503,-44,175.5,-44.125,175.625
503,-44,175.5,-44.125,175.375
504,-44,175.75,-43.875,175.625
504,-44,175.75,-43.875,175.875
504,-44,175.75,-44.125,175.875
504,-44,175.75,-44.125,175.625
505,-44,176,-43.875,175.875
505,-44,176,-43.875,176.125
505,-44,176,-44.125,176.125
505,-44,176,-44.125,175.875
506,-44,176.25,-43.875,176.125
506,-44,176.25,-43.875,176.375
506,-44,176.25,-44.125,176.375
506,-44,176.25,-44.125,176.125
507,-44,176.5,-43.875,176.375
507,-44,176.5,-43.875,176.625
507,-44,176.5,-44.125,176.625
507,-44,176.5,-44.125,176.375
508,-44,176.75,-43.875,176.625
508,-44,176.75,-43.875,176.875
508,-44,176.75,-44.125,176.875
508,-44,176.75,-44.125,176.625
509,-44,177,-43.875,176.875
509,-44,177,-43.875,177.125
509,-44,177,-44.125,177.125
509,-44,177,-44.125,176.875
513,-44,178,-43.875,177.875
513,-44,178,-43.875,178.125
513,-44,178,-44.125,178.125
513,-44,178,-44.125,177.875
514,-44,178.25,-43.875,178.125
514,-44,178.25,-43.875,178.375
514,-44,178.25,-44.125,178.375
514,-44,178.25,-44.125,178.125
515,-44,178.5,-43.875,178.375
515,-44,178.5,-43.875,178.625
515,-44,178.5,-44.125,178.625
515,-44,178.5,-44.125,178.375
516,-44,178.75,-43.875,178.625
516,-44,178.75,-43.875,178.875
516,-44,178.75,-44.125,178.875
516,-44,178.75,-44.125,178.625
517,-44,179,-43.875,178.875
517,-44,179,-43.875,179.125
517,-44,179,-44.125,179.125
517,-44,179,-44.125,178.875
518,-44,179.25,-43.875,179.125
518,-44,179.25,-43.875,179.375
518,-44,179.25,-44.125,179.375
518,-44,179.25,-44.125,179.125
519,-44,179.5,-43.875,179.375
519,-44,179.5,-43.875,179.625
519,-44,179.5,-44.125,179.625
519,-44,179.5,-44.125,179.375
520,-44,179.75,-43.875,179.625
520,-44,179.75,-43.875,179.875
520,-44,179.75,-44.125,179.875
520,-44,179.75,-44.125,179.625
521,-44,180,-43.875,179.875
521,-44,180,-43.875,180.125
521,-44,180,-44.125,180.125
521,-44,180,-44.125,179.875
522,-44,180.25,-43.875,180.125
522,-44,180.25,-43.875,180.375
522,-44,180.25,-44.125,180.375
522,-44,180.25,-44.125,180.125
523,-44,180.5,-43.875,180.375
523,-44,180.5,-43.875,180.625
523,-44,180.5,-44.125,180.625
523,-44,180.5,-44.125,180.375
526,-44,181.25,-43.875,181.125
526,-44,181.25,-43.875,181.375
526,-44,181.25,-44.125,181.375
526,-44,181.25,-44.125,181.125
527,-44,181.5,-43.875,181.375
527,-44,181.5,-43.875,181.625
527,-44,181.5,-44.125,181.625
527,-44,181.5,-44.125,181.375
528,-44,181.75,-43.875,181.625
528,-44,181.75,-43.875,181.875
528,-44,181.75,-44.125,181.875
528,-44,181.75,-44.125,181.625
529,-44,182,-43.875,181.875
529,-44,182,-43.875,182.125
529,-44,182,-44.125,182.125
529,-44,182,-44.125,181.875
530,-44,182.25,-43.875,182.125
530,-44,182.25,-43.875,182.375
530,-44,182.25,-44.125,182.375
530,-44,182.25,-44.125,182.125
531,-44,182.5,-43.875,182.375
531,-44,182.5,-43.875,182.625
531,-44,182.5,-44.125,182.625
531,-44,182.5,-44.125,182.375
532,-44,182.75,-43.875,182.625
532,-44,182.75,-43.875,182.875
532,-44,182.75,-44.125,182.875
532,-44,182.75,-44.125,182.625
541,-44,185,-43.875,184.875
541,-44,185,-43.875,185.125
541,-44,185,-44.125,185.125
541,-44,185,-44.125,184.875
557,-43.75,173.75,-43.625,173.625
557,-43.75,173.75,-43.625,173.875
557,-43.75,173.75,-43.875,173.875
557,-43.75,173.75,-43.875,173.625
558,-43.75,174,-43.625,173.875
558,-43.75,174,-43.625,174.125
558,-43.75,174,-43.875,174.125
558,-43.75,174,-43.875,173.875
559,-43.75,174.25,-43.625,174.125
559,-43.75,174.25,-43.625,174.375
559,-43.75,174.25,-43.875,174.375
559,-43.75,174.25,-43.875,174.125
