"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"649",2000,1,2,367.008,0.64234768,561.599161345108
"649",2000,1,8.8,358.492,0.6328284,561.599161345108
"649",2000,1,10.6,337.895,0.641627252,561.599161345108
"651",2000,1,0.2,282.69,0.6228276,561.599161345108
"651",2000,1,0,324.743,0.6256056,561.599161345108
"652",2000,1,0,292.789,0.59089912,561.599161345108
"653",2000,1,0,250.786,0.5556,561.599161345108
"659",2000,1,6.7,272.749,0.618282792,561.599161345108
"687",2000,1,0,288.715,0.599818352,563.886205296326
"687",2000,1,3.8,369.206,0.6467184,563.886205296326
"689",2000,1,0.5,360.616,0.66726634,563.886205296326
"692",2000,1,1.7,317.924,0.6589416,563.886205296326
"694",2000,1,0,259.642,0.561156,563.886205296326
"694",2000,1,0,250.882,0.556337096,563.886205296326
"695",2000,1,0.1,318.672,0.62992076,563.886205296326
"696",2000,1,0.6,343.368,0.425856288,563.886205296326
"697",2000,1,0.2,326.544,0.6300504,563.886205296326
"698",2000,1,30.8,346.112,0.637167636,563.886205296326
"702",2000,1,14.2,437.471,0.668927584,563.886205296326
"702",2000,1,11.4,419.797,0.6406068,563.886205296326
"703",2000,1,14.8,439.492,0.647274,563.886205296326
"704",2000,1,21.1,517.146,0.6446812,563.886205296326
"704",2000,1,14.2,502.144,0.665051348,563.886205296326
"704",2000,1,12.7,461.159,0.677832,563.886205296326
"706",2000,1,15.6,531.783,0.683469488,563.886205296326
"706",2000,1,9.8,450.172,0.6672756,563.886205296326
"710",2000,1,4.4,433.726,0.662810428,563.886205296326
"711",2000,1,7.4,477.74,0.426723024,563.886205296326
"711",2000,1,1.2,435.959,0.62755946,563.886205296326
"711",2000,1,5,492.944,0.712768128,563.886205296326
"712",2000,1,4.8,445.23,0.6733872,563.886205296326
"713",2000,1,0.2,337.289,0.5922696,563.886205296326
"716",2000,1,0,215.164,0.61116,563.886205296326
"716",2000,1,3.9,334.099,0.62992076,563.886205296326
"718",2000,1,0.8,301.935,0.6744984,563.886205296326
"718",2000,1,16.8,445.56,0.67451692,563.886205296326
"721",2000,1,18.1,499.555,0.659019384,563.886205296326
"726",2000,1,0,795.016,0.622322004,563.886205296326
"745",2000,1,1,669.268,0.642742156,566.162263486694
"747",2000,1,4.4,494.96,0.642901428,566.162263486694
"748",2000,1,6.3,467.532,0.633576608,566.162263486694
"749",2000,1,2.3,439.436,0.480497696,566.162263486694
"749",2000,1,3.2,485.752,0.636162,566.162263486694
"752",2000,1,10,418.076,0.641793932,566.162263486694
"752",2000,1,6.2,411.826,0.6911664,566.162263486694
"753",2000,1,2.1,306.999,0.670614756,566.162263486694
"754",2000,1,1.3,452.378,0.62925404,566.162263486694
"758",2000,1,16.6,395.001,0.663334544,566.162263486694
"759",2000,1,7.7,468.392,0.70839,566.162263486694
"759",2000,1,8.5,587.33,0.6900552,566.162263486694
"761",2000,1,18.6,441.389,0.64664432,566.162263486694
"762",2000,1,8.6,632.212,0.69633348,566.162263486694
"762",2000,1,16.4,452.287,0.649911248,566.162263486694
"763",2000,1,8.4,656.224,0.6967224,566.162263486694
"763",2000,1,7.5,519.833,0.72628032,566.162263486694
"768",2000,1,7.2,612.673,0.701274616,566.162263486694
"768",2000,1,15.2,540.84,0.684432528,566.162263486694
"771",2000,1,15.8,514.652,0.6800544,566.162263486694
"772",2000,1,23,529.284,0.660621364,566.162263486694
"773",2000,1,17.9,493.388,0.6911664,566.162263486694
"774",2000,1,17.7,508.744,0.653418936,566.162263486694
"774",2000,1,15,466.102,0.6433848,566.162263486694
"774",2000,1,19,630.261,0.5894916,566.162263486694
"775",2000,1,19.3,451.524,0.626500116,566.162263486694
"776",2000,1,23.7,516.232,0.670264728,566.162263486694
"807",2000,1,0,745.48,0.5939364,568.427296617813
"812",2000,1,4.7,638.971,0.624903692,568.427296617813
"813",2000,1,8.9,538.096,0.672283408,568.427296617813
"813",2000,1,11.2,518.996,0.6131972,568.427296617813
"814",2000,1,10.6,725.683,0.661097328,568.427296617813
"351",2001,1,0,982.537,0.27683696,550.000548195953
"351",2001,1,0,888.546,0.40636584,550.000548195953
"371",2001,1,0,501.855,0.627828,552.341922687103
"378",2001,1,0,735.916,0.6411624,552.341922687103
"378",2001,1,0.6,796.465,0.6911664,552.341922687103
"410",2001,1,1.1,678.528,0.686780864,552.341922687103
"412",2001,1,9.1,540.304,0.661164,552.341922687103
"416",2001,1,0,1002.61,0.1670504,552.341922687103
"435",2001,1,0,644.952,0.660023168,554.67251167598
"435",2001,1,0.2,435.426,0.7078344,554.67251167598
"443",2001,1,0,426.837,0.5800464,554.67251167598
"460",2001,1,2.7,649.417,0.60964136,554.67251167598
"464",2001,1,0.1,498.692,0.6311616,554.67251167598
"466",2001,1,0.2,507.637,0.413879404,554.67251167598
"467",2001,1,0,565.442,0.6400512,554.67251167598
"467",2001,1,0,838.372,0.53028316,554.67251167598
"469",2001,1,0.3,475.504,0.6856104,554.67251167598
"497",2001,1,0.2,377.654,0.614312104,556.992274608704
"499",2001,1,0.2,585.473,0.650052,556.992274608704
"502",2001,1,0,478.616,0.6744984,556.992274608704
"503",2001,1,0.5,442.735,0.661164,556.992274608704
"503",2001,1,0,465.024,0.6489408,556.992274608704
"503",2001,1,0.4,494.175,0.6956112,556.992274608704
"505",2001,1,0,286.838,0.6178272,556.992274608704
"506",2001,1,0,450.247,0.627950232,556.992274608704
"507",2001,1,0.1,500.283,0.65779336,556.992274608704
"507",2001,1,0,502.62,0.639025192,556.992274608704
"514",2001,1,0,684.028,0.63894,556.992274608704
"524",2001,1,0,299.104,0.574790424,556.992274608704
"525",2001,1,0.1,289.457,0.577824,556.992274608704
"525",2001,1,0.1,315.704,0.599573888,556.992274608704
"530",2001,1,1.8,295.598,0.6672756,556.992274608704
"531",2001,1,0,273.828,0.64234768,556.992274608704
"559",2001,1,0,516.424,0.6767208,559.301171182358
"560",2001,1,0,526.184,0.6945,559.301171182358
"563",2001,1,0.4,352.912,0.6622752,559.301171182358
"563",2001,1,0.1,352.912,0.6733872,559.301171182358
"563",2001,1,0,410.504,0.6267168,559.301171182358
"563",2001,1,0,344.196,0.6711648,559.301171182358
"564",2001,1,0,382.373,0.6867216,559.301171182358
"564",2001,1,0.7,427.714,0.6789432,559.301171182358
"564",2001,1,2.5,382.373,0.627828,559.301171182358
"567",2001,1,0.6,434.897,0.6244944,559.301171182358
"568",2001,1,0.6,427.351,0.6411624,559.301171182358
"580",2001,1,8.6,441.772,0.6200496,559.301171182358
"580",2001,1,0,473.146,0.4618888,559.301171182358
"581",2001,1,1.9,447.006,0.4492952,559.301171182358
"583",2001,1,5.5,368.426,0.6744984,559.301171182358
"588",2001,1,3.1,317.699,0.650052,559.301171182358
"588",2001,1,2.4,306.739,0.634595208,559.301171182358
"592",2001,1,0,266.068,0.617982768,559.301171182358
"592",2001,1,0,254.845,0.5867136,559.301171182358
"592",2001,1,0.5,264.96,0.68566596,559.301171182358
"619",2001,1,0,620.26,0.66336788,561.599161345108
"621",2001,1,1.3,574.698,0.672287112,561.599161345108
"621",2001,1,0,445.05,0.666712592,561.599161345108
"622",2001,1,0,317.593,0.444755948,561.599161345108
"625",2001,1,0,238.896,0.6067152,561.599161345108
"628",2001,1,0,351.273,0.712423656,561.599161345108
"629",2001,1,0.4,373.809,0.701044968,561.599161345108
"634",2001,1,0,309.709,0.451888,561.599161345108
"643",2001,1,15.9,382.423,0.650052,561.599161345108
"644",2001,1,14.5,382.626,0.6767208,561.599161345108
"646",2001,1,8,412.344,0.6767208,561.599161345108
"647",2001,1,12.6,352.344,0.677832,561.599161345108
"649",2001,1,4.8,382.642,0.674465064,561.599161345108
"651",2001,1,0.1,288.408,0.6678312,561.599161345108
"653",2001,1,0,292.789,0.63201352,561.599161345108
"654",2001,1,0,229.994,0.39663358,561.599161345108
"659",2001,1,0,345.46,0.60762268,561.599161345108
"660",2001,1,22.9,493.743,0.644496,561.599161345108
"660",2001,1,74.1,436.564,0.6922776,561.599161345108
"664",2001,1,3.7,733.269,0.6933888,561.599161345108
"682",2001,1,4.6,562.913,0.6511632,563.886205296326
"683",2001,1,1.4,397.851,0.6767208,563.886205296326
"684",2001,1,0.2,275.66,0.5922696,563.886205296326
"688",2001,1,2.9,319.322,0.6633864,563.886205296326
"689",2001,1,0.1,371.749,0.649911248,563.886205296326
"690",2001,1,0,377.454,0.496995312,563.886205296326
"695",2001,1,0,289.025,0.643299608,563.886205296326
"698",2001,1,11.3,336.703,0.636610184,563.886205296326
"702",2001,1,16.7,441.783,0.6578304,563.886205296326
"708",2001,1,6.6,434.15,0.700056,563.886205296326
"709",2001,1,7.2,405.337,0.6578304,563.886205296326
"712",2001,1,14.5,411.089,0.6678312,563.886205296326
"717",2001,1,14.3,312.561,0.6022704,563.886205296326
"719",2001,1,24.5,350.333,0.665597688,563.886205296326
"719",2001,1,68.6,478.21,0.658860112,563.886205296326
"721",2001,1,18.6,572.409,0.67451692,563.886205296326
"723",2001,1,17.8,671.985,0.66336788,563.886205296326
"724",2001,1,6.1,751.767,0.6511632,563.886205296326
"743",2001,1,3.9,572.526,0.661164,566.162263486694
"744",2001,1,0.5,722.667,0.45674024,566.162263486694
"746",2001,1,0.4,252.143,0.554422128,566.162263486694
"748",2001,1,10.9,627.004,0.651207648,566.162263486694
"748",2001,1,3.2,412.889,0.6767208,566.162263486694
"748",2001,1,2.5,536.721,0.650052,566.162263486694
"749",2001,1,1.8,613.8,0.65342264,566.162263486694
"756",2001,1,0,341.528,0.453788152,566.162263486694
"757",2001,1,15,420.187,0.694585192,566.162263486694
"767",2001,1,18.5,562.174,0.681206344,566.162263486694
"770",2001,1,12.5,513.739,0.7045008,566.162263486694
"771",2001,1,13.8,573.292,0.692185,566.162263486694
"772",2001,1,21,602.979,0.6967224,566.162263486694
"773",2001,1,59,544.327,0.6756096,566.162263486694
"776",2001,1,45.9,502.958,0.669499852,566.162263486694
"776",2001,1,9.9,713.016,0.6589416,566.162263486694
"777",2001,1,27.4,553.596,0.6800544,566.162263486694
"837",2001,1,6.5,772.002,0.6467184,568.427296617813
"254",2002,1,0,1013.11,0.11600928,547.648429007217
"254",2002,1,0,1002.45,0.11800944,547.648429007217
"255",2002,1,0,964.339,0.14951196,547.648429007217
"311",2002,1,0,954.608,0.122232,550.000548195953
"311",2002,1,0,1094.4,0.10053582,550.000548195953
"311",2002,1,0,1005.98,0.14728956,550.000548195953
"312",2002,1,0,891.326,0.16470762,550.000548195953
"312",2002,1,0,959.2,0.18395916,550.000548195953
"312",2002,1,0,1001.59,0.24061184,550.000548195953
"312",2002,1,0,1001.59,0.17369908,550.000548195953
"312",2002,1,0,957.982,0.19449704,550.000548195953
"313",2002,1,0,1000.28,0.23618556,550.000548195953
"313",2002,1,0,960.381,0.0693574,550.000548195953
"318",2002,1,0,699.381,0.0463,550.000548195953
"318",2002,1,0,699.381,0.10578624,550.000548195953
"372",2002,1,0.3,512.13,0.5978256,552.341922687103
"372",2002,1,0.5,512.13,0.6089376,552.341922687103
"373",2002,1,0,705.224,0.20762772,552.341922687103
"373",2002,1,0,740.323,0.63549528,552.341922687103
"377",2002,1,0,793.191,0.6100488,552.341922687103
"381",2002,1,0,712.443,0.6128268,552.341922687103
"411",2002,1,22.5,416.951,0.6744984,552.341922687103
"435",2002,1,0,499.534,0.622673884,554.67251167598
"437",2002,1,0,720.091,0.2098316,554.67251167598
"437",2002,1,0,672.311,0.1466784,554.67251167598
"445",2002,1,0,399.228,0.5029569,554.67251167598
"466",2002,1,3,752.22,0.680306272,554.67251167598
"469",2002,1,0,451.158,0.698487356,554.67251167598
"469",2002,1,0.4,451.158,0.694285168,554.67251167598
"497",2002,1,0.4,503.981,0.6017148,556.992274608704
"498",2002,1,0,498.922,0.5911584,556.992274608704
"498",2002,1,0,592.071,0.6144936,556.992274608704
"500",2002,1,0.2,505.98,0.6144936,556.992274608704
"500",2002,1,0.1,510.872,0.6622752,556.992274608704
"500",2002,1,0,492.582,0.668927584,556.992274608704
"502",2002,1,0,457.94,0.673402016,556.992274608704
"502",2002,1,0,457.94,0.644971964,556.992274608704
"504",2002,1,0,461.777,0.421285552,556.992274608704
"505",2002,1,0,321.085,0.642640296,556.992274608704
"505",2002,1,0,499.155,0.4489248,556.992274608704
"505",2002,1,0,499.155,0.45973122,556.992274608704
"516",2002,1,0,704.623,0.707138048,556.992274608704
"517",2002,1,0,749.441,0.6844992,556.992274608704
"520",2002,1,0.1,477.847,0.68574004,556.992274608704
"521",2002,1,1.3,493.786,0.658908264,556.992274608704
"527",2002,1,0.3,320.167,0.67331312,556.992274608704
"528",2002,1,0.2,344.36,0.689568124,556.992274608704
"529",2002,1,0.4,349.082,0.680648892,556.992274608704
"532",2002,1,0.1,317.787,0.719120488,556.992274608704
"559",2002,1,0,508.082,0.596597724,559.301171182358
"561",2002,1,0,515.037,0.602605612,559.301171182358
"562",2002,1,0.1,401.519,0.673742784,559.301171182358
"567",2002,1,0,474.898,0.6711648,559.301171182358
"573",2002,1,1.8,355.44,0.692355384,559.301171182358
"578",2002,1,0.3,481.015,0.67396132,559.301171182358
"584",2002,1,1.9,307.011,0.670588828,559.301171182358
"584",2002,1,5.2,307.011,0.662827096,559.301171182358
"585",2002,1,4.3,292.825,0.692466504,559.301171182358
"587",2002,1,6.8,305.358,0.684617728,559.301171182358
"588",2002,1,0.6,307.743,0.727654504,559.301171182358
"591",2002,1,0.4,255.918,0.6854715,559.301171182358
"592",2002,1,0,261.24,0.665012456,559.301171182358
"599",2002,1,4.9,311.531,0.59251036,559.301171182358
"600",2002,1,0.3,354.292,0.602118536,559.301171182358
"620",2002,1,0,559.244,0.673402016,561.599161345108
"621",2002,1,2.5,445.05,0.6406068,561.599161345108
"621",2002,1,0.1,501.615,0.605604,561.599161345108
"622",2002,1,0.7,403.211,0.666712592,561.599161345108
"622",2002,1,0.9,351.227,0.639397444,561.599161345108
"623",2002,1,0,271.309,0.5933808,561.599161345108
"624",2002,1,0,271.352,0.541285892,561.599161345108
"624",2002,1,0.2,271.352,0.51843036,561.599161345108
"626",2002,1,0,292.385,0.6911664,561.599161345108
"627",2002,1,0.2,308.351,0.6817212,561.599161345108
"634",2002,1,0.1,309.709,0.6689424,561.599161345108
"635",2002,1,1.6,333.135,0.679533988,561.599161345108
"637",2002,1,14.3,330.11,0.6533856,561.599161345108
"637",2002,1,4.5,330.11,0.702834,561.599161345108
"639",2002,1,3.9,381.844,0.662810428,561.599161345108
"640",2002,1,21.3,370.669,0.646086868,561.599161345108
"641",2002,1,15.2,393.485,0.675631824,561.599161345108
"642",2002,1,8.3,409.782,0.648511136,561.599161345108
"643",2002,1,6.5,413.809,0.45020268,561.599161345108
"647",2002,1,4.7,352.344,0.686704932,561.599161345108
"648",2002,1,13.8,350.336,0.69583344,561.599161345108
"651",2002,1,1.2,288.408,0.566995356,561.599161345108
"651",2002,1,1.4,280.289,0.604589104,561.599161345108
"652",2002,1,3.2,277.773,0.689660724,561.599161345108
"658",2002,1,1,378.906,0.6644976,561.599161345108
"660",2002,1,67.6,493.743,0.666690368,561.599161345108
"661",2002,1,13.4,528.087,0.59286224,561.599161345108
